Year;Specimen;PathogenName;AntibioticName;Iso3;CountryTerritoryArea;WHORegionName;InterpretableAST;Resistant;ResistancePercentage
2023;Urinary tract;Klebsiella pneumoniae;Colistin;CHE;Switzerland;European Region;45;10;22.222222222
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;CHE;Switzerland;European Region;19666;151;0.767822638
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;CHE;Switzerland;European Region;19611;60;0.305950742
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;CHE;Switzerland;European Region;6989;639;9.142938904
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;CHE;Switzerland;European Region;17662;53;0.300079266
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;149;77;51.677852349
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;149;104;69.798657718
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;149;104;69.798657718
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;149;110;73.825503356
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;149;103;69.127516779
2023;Urinary tract;Klebsiella pneumoniae;Colistin;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;147;147;100.0
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;148;6;4.054054054
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;149;6;4.026845638
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;149;104;69.798657718
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;CIV;C<U+00F4>te d<U+2019>Ivoire;African Region;149;6;4.026845638
